n_parameters,computation_time,objective_value,test_case,elec-resistance,alpha-c,memb-cond-correction,B_ch,ionomer-cond-corr,i0-c,memb-cond-exp,Sh,E-act-ca,memb-equiv-weight,memb-E-act-cond,gdl-thermal-cond,gamma-c,memb-abs-constant,ix-corr,ionomer-cond-exp,tcr,gdl-abs-perm,memb-thickness,gdl-eff-diff-ratio,pt-loading,ic-ratio,gdl-thickness,ionomer-E-act-cond,memb-water-diff,radius-carbon,wet-transition,ecsa,cl-abs-perm,cl-pore-diameter,cl-theta,n_s,E-act-memb-diff,E-act-memb-abs,ionomer-k2,gdl-theta,ionomer-k1,ionomer-k3
12,383.48694801330566,0.00011238526472979387,1,3.3307038582590434e-06,0.8356315129029064,4.845440707392765,1.303579633920816,3.0910677346571354,0.000965410879067563,1.5959324449596444,0.7361566569078478,65660547.38339906,704.3712044910876,23182254.335871324,0.06111967830238586,,,,,,,,,,,,,,,,,,,,,,,,,,
12,185.9496991634369,7.981629155464768e-05,2,2.87304363954078e-06,0.8717165309323592,0.9156865645388266,1.3256032817113106,3.8455763244487957,0.0006091292582314525,1.0582423228930136,0.7351948881269729,67969751.5673998,700.0,19447202.486063663,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
12,121.77771592140198,0.00010551519509301659,3,3.44938441967471e-06,0.826313292920116,17.785361340929093,1.062080333563086,6.483044392619977,0.0009713348925261784,1.364177305852838,0.6212934265140378,63716657.992486835,840.6111966875434,12029991.68562529,0.054122534794245995,,,,,,,,,,,,,,,,,,,,,,,,,,
12,231.12949132919312,0.00010025476641191979,4,3.368766886214348e-06,0.8373669693775811,6.670940652451304,1.265487531240895,2.9020055598282846,0.0008988972269767647,1.8106071898061202,0.726007184795978,63874221.8941543,700.0,26737485.386917103,0.06853723868507189,,,,,,,,,,,,,,,,,,,,,,,,,,
12,251.551913022995,0.00011587555366307513,5,3.4907087630482817e-06,0.9140317697152736,5.427857876405026,1.7120002420679556,1.355459079982748,0.0004424594742559566,1.1818835794042313,1.062309210413279,73115907.58846846,1013.6078681156773,26217310.432404313,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
12,211.4546947479248,0.0001146026534862066,6,3.1710712661839728e-06,0.8241373836646262,1.9248059764347383,1.172975133562541,4.169429703432729,0.0010725333286147852,1.2335131649345226,0.6593646075462445,65701168.772008464,718.452032667685,22806949.196359657,0.05005665249547754,,,,,,,,,,,,,,,,,,,,,,,,,,
12,333.90379071235657,0.00010918264376282893,7,3.0246479991969207e-06,0.8432902332680261,1.369327827833129,1.1966408045991836,4.942855192892025,0.0008255277180043079,1.1997424111174122,0.6686611457191066,65708303.50468563,704.2859658174782,22432296.030824132,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
12,252.75629901885986,0.00010429406823929873,8,3.560130827320016e-06,0.7999033391894323,49.999999999999986,0.6679225325587095,11.209797840505116,0.0011791641151486184,1.946402043398347,0.49493569028012574,60791033.468839765,700.0,17199333.798858482,0.052801621754229255,,,,,,,,,,,,,,,,,,,,,,,,,,
12,90.72179579734802,9.285094207590967e-05,9,3.296141369466823e-06,0.8618172150321524,3.0570782849175138,1.3215573946075654,5.309700555936985,0.0006881181761017439,1.4969550818546487,0.623784744239664,64599433.41132605,703.0717297610737,26028721.872746676,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
13,369.230703830719,0.00011014866314067855,1,2.886133350154122e-06,0.8940122730284406,0.8898401733835517,1.192865104454867,3.407349348487754,0.0008227511961773272,1.010358911455062,0.7040951318120066,74098348.85621586,702.2542261032953,18185975.58527644,0.05382462074102057,0.8852776213025542,,,,,,,,,,,,,,,,,,,,,,,,,
13,188.3448429107666,7.252606165291045e-05,2,2.9618625389605377e-06,0.9318721559223443,0.8941805139317416,1.1851856446792344,3.624168652920775,0.0005148471199126314,1.1852295473083154,0.6986199812034245,71740586.28865525,700.0,27113492.552106183,0.05184878510576346,0.8849693752436896,,,,,,,,,,,,,,,,,,,,,,,,,
13,267.9855360984802,9.953919111366482e-05,3,3.467157769682209e-06,0.8659540308093835,18.91556602769279,1.0878114587926466,5.127852665710512,0.0007851991070743973,1.3436825976674824,0.6426874781287557,67610223.62283033,899.0714859982618,16180448.9674033,0.05109626670872567,0.6972479135984324,,,,,,,,,,,,,,,,,,,,,,,,,
13,209.46838569641113,9.365191636553645e-05,4,3.3894076753000336e-06,0.9051680687273107,23.734312671454997,1.0926449030740457,2.4703857321069744,0.0007812581091097301,1.702551134266645,0.6837234305772834,76737219.7603406,700.0,5465320.6731537245,0.0705245212635405,0.9330404077641794,,,,,,,,,,,,,,,,,,,,,,,,,
13,198.94819402694702,0.00010472798105753228,5,3.173592622329667e-06,0.8894649678275179,1.6699407352612692,1.0981894782821904,4.009276643270849,0.0008519713733135919,1.2952078275651298,0.658167277182577,74662958.20455694,700.640097600319,25178157.92982058,0.053261045756331483,0.8847689236683799,,,,,,,,,,,,,,,,,,,,,,,,,
13,195.50296115875244,0.00010489917360008515,6,3.1836893919332176e-06,0.8919090287944635,1.829848964660287,1.0454587143156726,4.087285078449828,0.000837810128286742,1.3101361113106154,0.6333540996649734,74656695.84173536,716.665296815527,28587682.38124297,0.05,0.9142302108128071,,,,,,,,,,,,,,,,,,,,,,,,,
13,233.83014035224915,0.00010216746072694225,7,3.2658098516925955e-06,0.9001819618637252,4.842029557868837,1.0116490507395095,4.354084480386265,0.0006717186144411337,1.4646170174305246,0.6203480636483942,77241425.67267656,700.0,20310154.72552766,0.05296026945401044,0.870425649861954,,,,,,,,,,,,,,,,,,,,,,,,,
13,220.0010380744934,8.704838733093909e-05,8,3.5271535505838286e-06,0.8820135992865714,49.999999999999986,0.5972594596848402,8.382436700432887,0.000854717615804532,1.9957909882747866,0.505917724020243,70249392.34404558,700.0,20097924.873880003,0.05837020261364628,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
